title,company,experience,location,description,skills,posted
"Senior Analyst, Business Development Operations",Zscaler Softech,6-8 Yrs,Bengaluru,"Supporting US based BD team, while collaborating with India based Business Intelligence...","corporate business development, bd, data analytics, sfdc, sales growth, business development, sales, excel",1 day ago
Otc Analyst,manpower groups,0-4 Yrs,Bengaluru,"Roles and Responsibilities* Process OTC (Order to Cash) transactions, including billing...","O2C Cash Application, Order To Cash, Cash Applications, O2C Billing, Cash, Order fulfillment, Application, OTC",5 days ago
Senior Business Intelligence Analyst,Caterpillar Inc,4-8 Yrs,"Bengaluru, Chennai","The Lead Management analyst demonstrates excellent communication skills, being able to ...","Automation, Sales, Senior Analyst, Project management, Programming, data visualization, Lead management, Analytics",1 week ago
Associate Business Data Analyst (Metrics & Analytics),First Advantage,3-8 Yrs,Bengaluru,. Job Qualifications . Education: 10+2 or equivalent (minimum requirement). Hands On Ex...,"Stakeholder Engagement, Automation, Business Data Analyst, MIS, Data quality, Advanced Excel, MS Office, Data mining",1 week ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,Skill required: Data Management - Structured Query Language (SQL). Qualifications: BE /...,"project management, data management, data analysis, sql, database management, risk management, python, data analytics",1 week ago
Sr Financial Business Systems Analyst,Rarr Technologies,4-9 Yrs,Bengaluru,"Must have excellent written, verbal and presentation skills. Education: . 6+ years of r...","Computer science, Automation, Performance management, Process improvement, Financial planning, Budgeting, Business intelligence, SDLC",1 week ago
Senior Data Analyst,Capco,7-12 Yrs,"Hybrid - Bengaluru, Pune",Role: Data Analyst / Senior Data AnalystExperience: 7+ yearsLocation: Bangalore/ PuneR...,"Pyspark, ETL, Python, SQL, Data, Data analysis, Senior",1 week ago
Business Analyst/Data Analyst,Leading Client,3-5 Yrs,Bengaluru,"About The Opportunity :A key player in the consulting industry, we specialize in levera...","data visualization, Visualization, Pandas, Dashboard Design, Data Analyst, Statistical Analyst, Data Modeling, Data Analytics",2 weeks ago
Senior Data Quality and Governance Analyst,Jones Lang LaSalle,6-11 Yrs,Bengaluru,Senior Data Quality and Governance Analyst JLL/Technologies Abou...,"Relationship management, Data management, Relationship building, Consulting, Data quality, Information management, Risk management, Analytics",2 days ago
Financial Analyst,Service based Top B2C/B2B IT Services Firm,0-4 Yrs,"Bengaluru, Hyderabad, Chennai",2025 graduate can also apply. Good communication required. Analyzes financial status by...,"Financial Analysis, Financial Reporting, database management, Financial Analytics, financial management, Management Reporting, Reporting, Business Reporting",3 days ago
"Senior Analyst, Merchandising & Business Finance",Lowes Services India Private limited,2-7 Yrs,Bengaluru,"Required Minimum Qualifications : . Bachelors degree in business, Finance, or Analytica...","Supply chain, Inventory analysis, Financial reporting, Enterprise architecture, CMA, Business analytics, Finance, Merchandising",1 week ago
Senior Financial Analyst GS Business Support,Abiomed,2-5 Yrs,Bengaluru,"A minimum of a Bachelor s degree is required, preferably with a major in Finance, Econo...","Payroll, SAP, Excel, CMA, Pharma, Analytical, Healthcare, Cima",1 week ago
Senior Analyst - Data Analysis,Tesco,3-8 Yrs,Bengaluru,"Testing), Good Skills to analyze data using Adv Excel, Adv SQL, Hive, Phython, Data War...","Supply chain, Telecom, Automation, Data analysis, Analytical, Data quality, Teradata, Business solutions",1 week ago
Associate Business Data Analyst (Metrics & Analytics),Sterling Talent,3-8 Yrs,Bengaluru,. Job Qualifications . Education: 10+2 or equivalent (minimum requirement) . Hands On E...,"Stakeholder Engagement, Automation, Business Data Analyst, MIS, Data quality, Advanced Excel, MS Office, Data mining",1 week ago
Senior Analyst - Data Analytics,Goldman Sachs,2-5 Yrs,Bengaluru,"Degree in Computer Science, Mathematics, Statistics, or a comparable discipline is pref...","Data analysis, Employee engagement, Workforce planning, power bi, HR, Talent management, Analytics, Human capital management",1 week ago
Senior Data Analyst,Zynga,5-8 Yrs,Hybrid - Bengaluru,Position Overview:Zyngas data science and analytics team uses our unique and expansive...,"Data Analytics, SQL, Python, Tableau, Analytics, Data, Senior",1 week ago
"Senior Engineer, Data Analyst",Nagarro,3-5 Yrs,Bengaluru,Total experience 3+ YearsStrong working experience as a Data Analyst in a fast-paced en...,"Google Analytics, Data Analysis, SQL, Bigquery, Google, Analytics, Data, Analysis",1 week ago
Senior Data Analyst,Optum,7-12 Yrs,Hybrid - Bengaluru,"Bachelor s or Master s degree in data science, Statistics, Computer Science, or a relat...","Azure Cloud, Data Pipeline, Data Modeling, Python, SQL, SCALA, Ml Algorithms, Data",1 week ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,using Airflow Excellent verbal and written communication Strong team player and excelle...,"metadata, python, sql, tableau, gcp, schema, data management, data analysis",1 week ago
"Data Eng, Mgmt & Governance Sr Analyst",Accenture,5-8 Yrs,Bengaluru,"Skill required: Data Management - Microsoft Fabric. Qualifications: BE, BTech . Years o...","data management, data analysis, pyspark, microsoft azure, power bi, python, data analytics, natural language processing",1 week ago
Senior Analyst - Data & Insights,TE Connectivity,4-9 Yrs,Bengaluru,"At TE, you will unleash your potential working with people from diverse backgrounds a...","python, data manipulation, sales, sql, data visualization, digital marketing, adobe analytics, eloqua",1 week ago
Senior Analyst - Data Science,Infosys,3-6 Yrs,Bengaluru,Bachelor of Engineering,"python, machine learning, artificial intelligence, data science, aws, algorithms, data analysis, eda",1 week ago
S&C Global Network - AI - Hi Tech - Data Science Sr. Analyst,Accenture,3-8 Yrs,Bengaluru,"Education: B tech, M tech in Computer Science, Statistics, Applied Mathematics, or rela...","python, natural language processing, sql, computer vision, machine learning algorithms, scikit-learn, amazon redshift, microsoft azure",1 week ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Clinical Data Services - Clinical Reports Management. .,"python, sas, sql, plsql, r, sae reconciliation, data services, pharmaceutical",1 week ago
EYP-DnA-Data Engineer - Senior Analyst,EY,6-11 Yrs,Bengaluru,We re looking for Senior Analyst - Data Engineering. The main objective of the rol...,"Microstrategy, Performance tuning, Automation, Business objects, Production support, Cognos, MySQL, Oracle",1 week ago
Senior Analyst â€“ Data Integrations & System Support,IBM,4-9 Yrs,Bengaluru,"Bachelors Degree . Masters Degree . Bachelor s degree in information systems, Accountin...","oracle, sql, fusion, oracle erp, troubleshooting, analytics cloud, erp, python",1 week ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Clinical Data Operations - Clinical Database Testing. Qualifications: M...,"documentation, ich, clinical data, gcp, crf, data operations, software testing, medidata rave",1 week ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,"preferred.Extensive experience in database design, edit check programming, custom funct...","medidata rave, edc, unit testing, database design, oracle clinical, sae reconciliation, data services, inform",1 week ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Clinical Data Services - Clinical Database Programming. preferred. . Qu...,"sas, business analytics, cognos, sql, plsql, sae reconciliation, data services, pharmaceutical",1 week ago
Clinical Data Svs Sr Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Clinical Data Services - Clinical Reports Management. Qualifications: B...,"data services, sas, sql, plsql, clinical data, sae reconciliation, pharmaceutical, inform",1 week ago
"Business Analyst, FinOps, BwP/MCF",Amazon,3-8 Yrs,Bengaluru,Bachelors degree or equivalent Experience defining requirements and using data and metr...,"Business Analyst, Financial analysis, Analytical, Financial operations, Data Analyst, data visualization, Analytics, Monitoring",2 weeks ago
Planisware Business Analyst,Emagine Infotech Software,2-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Candidates should possess a strong understanding of PPM and its applications in the eng...,"financial analysis, forecasting, scenario planning, user stories, Usage, Planning, Finance, Analysis",3+ weeks ago
Business Analyst,Accenture,12-15 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"project management, business solutions, business analysis, guidewire, data modeling, data analysis, gap analysis, documentation",3 weeks ago
Business Analyst,Accenture,15-25 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"documentation, business solutions, business analysis, guidewire, process mapping, project management, data analysis, data analytics",3 weeks ago
Business Analyst,Accenture,3-8 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"project management, business solutions, business analysis, business requirement analysis, process mapping, data analysis, data analytics, gap analysis",3 weeks ago
Business Analyst,Accenture,1-4 Yrs,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"project management, project implementation, business analysis, business requirement analysis, process mapping, data analysis, gap analysis, business solutions",3 weeks ago
IN_Senior Associate_ R&C Downstream Business Analyst,PwC Service Delivery Center,2-5 Yrs,Bengaluru,FS XSector Specialism Risk Management Level Senior Associate & Summ...,"Data analysis, Trade finance, Risk assessment, Analytical, Business analytics, Reconciliation, Anti money laundering, Capital market",3+ weeks ago
Business Analyst- PIBL,Paytm,1-2 Yrs,Bengaluru,Problem solving - Assess what data is required to prove hypotheses and derive actionabl...,"advance sql, python, project management, documentation, r, hive, time management skills, database maintenance",3+ weeks ago
Business Analyst,Accenture,3-8 Yrs,Bengaluru,. Educational Qualification : 15 years of full time education Qualification . 15 years ...,"project management, business solutions, business analysis, epic, process mapping, data analytics, data analysis, gap analysis",3+ weeks ago
"Business Analyst, Amazon Pay",Amazon,1-6 Yrs,Bengaluru,"Bachelors degree Experience with data mining tools like SQL, SAS, SPSS, or similar Bach...","Computer science, Data analysis, SAS, Business analysis, Customer service, SPSS, Data mining, SQL",3+ weeks ago
Business Analyst,Wipro,7-12 Yrs,"Hybrid - Bengaluru, Pune, Chennai","Experience Level: 8+ YearsDomain: Banking, Accounting, Trust, FundTools: Visio, SAP, S...","SAP, Visio, business analyst, SQL, Quantum, Summit, Business analysis",3+ weeks ago
Business Analyst Lead,Hexaware Technologies,12-18 Yrs,"Bengaluru, Chennai, Delhi / NCR","Preferred Qualifications- . - Certification in business analysis (e.g., CBAP, CCBA) or ...","Property And Casualty Insurance, Business Analysis, Insurance Domain, Property, Property, Casualty, Insurance, Analysis",3+ weeks ago
Business Analyst,Wipro,7-12 Yrs,"Hybrid - Bengaluru, Hyderabad, Pune","Experience Level: 8+ YearsDomain: Banking, Accounting, Trust, FundTools: Visio, SAP, S...","Quantum, SAP, MS Visio, Summit, business analyst, Fund Management, Loan Management, Account Management",3+ weeks ago
